Date,Zone,Day,CodedDay,CodedWeather,Temperature,Realtime,AOR
20-04-2016 19:00,115,Wednesday,4,28,63,27.83333333,4.3
27-04-2016 19:00,115,Wednesday,4,24,55,19.58333333,3.5
02-03-2016 19:00,115,Wednesday,4,26,61,17.93333333,4.1
04-05-2016 19:00,115,Wednesday,4,26,58,13.5,3.8
11-05-2016 19:00,115,Wednesday,4,28,57,21.36666667,3.7
09-03-2016 19:00,115,Wednesday,4,26,63,19.55,4.3
16-03-2016 19:00,115,Wednesday,4,30,69,23.01666667,4.9
17-12-2015 19:30,118,Thursday,5,29,54,22.01666667,3.4
14-04-2016 19:30,118,Thursday,5,24,57,20.75,3.7
21-04-2016 19:30,118,Thursday,5,23,62,17.9,4.2
28-04-2016 19:30,118,Thursday,5,24,57,20.43333333,3.7
03-03-2016 19:30,118,Thursday,5,26,61,17.23333333,4.1
05-05-2016 19:30,118,Thursday,5,28,61,19.43333333,4.1
12-05-2016 19:30,118,Thursday,5,23,57,20.73333333,3.7
10-03-2016 19:30,118,Thursday,5,11,61,21.81666667,4.1
17-03-2016 19:30,118,Thursday,5,34,67,18.95,4.7
24-03-2016 19:30,118,Thursday,5,23,58,22.41666667,3.8
18-12-2015 20:00,121,Friday,6,11,53,26.11666667,3.3
15-04-2016 20:00,121,Friday,6,23,61,19.56666667,4.1
22-04-2016 20:00,121,Friday,6,23,58,18.23333333,3.8
29-04-2016 20:00,121,Friday,6,24,55,19.58333333,3.5
12-02-2016 20:00,121,Friday,6,27,60,17.13333333,4
04-03-2016 20:00,121,Friday,6,27,63,19.66666667,4.3
06-05-2016 20:00,121,Friday,6,28,58,21.06666667,3.8
13-05-2016 20:00,121,Friday,6,32,58,20.6,3.8
11-03-2016 20:00,121,Friday,6,11,54,22.88333333,3.4
18-03-2016 20:00,121,Friday,6,28,58,22.86666667,3.8
25-03-2016 20:00,121,Friday,6,23,58,20,3.8
05-02-2016 20:00,121,Friday,6,29,55,12.38333333,3.5
12-02-2016 20:00,121,Friday,6,27,60,17.13333333,4
19-02-2016 20:00,121,Friday,6,26,53,20.4,3.3
26-02-2016 20:00,121,Friday,6,26,58,20.35,3.8
